,avg_price,availability_rate,total_revenue,n_of_diff_dates
53334769,2283.007075471698,0.5259433962264151,497431.0,424
48129047,350.58962264150944,0.8844339622641509,26080.0,424
22221493,828.75,0.9127358490566038,37140.0,424
23087456,435.14150943396226,0.39622641509433965,114060.0,424
53474976,1203.066037735849,0.23349056603773585,391300.0,424
739663897909156017,592.4242424242424,0.8813131313131313,26100.0,396
43030317,624.7474747474747,0.9267676767676768,19500.0,396
47700661,531.3679245283018,0.8867924528301887,28550.0,424
30957478,614.2452830188679,0.22169811320754718,211160.0,424
47330953,178.37264150943398,0.8962264150943396,16407.0,424
710148129777546948,750.0,0.9528301886792453,15000.0,424
21408639,479.7877358490566,0.9834905660377359,4700.0,424
45650077,200.37340619307832,0.6794171220400729,35145.0,549
727690979248182603,1000.0,1.0,,404
21924943,4500.0,0.33490566037735847,1269000.0,424
52052904,150.43715846994536,0.4936247723132969,34775.0,549
543636856398810159,233.72641509433961,0.2641509433962264,73310.0,424
30415572,493.030303030303,0.9368686868686869,12250.0,396
53605236,429.00943396226415,1.0,,424
53918944,353.5,0.75,9500.0,100
42807186,313.93333333333334,0.6686868686868687,53222.0,495
577547502503396579,435.91745283018867,0.3113207547169811,128943.0,424
41141790,395.0,0.7830188679245284,36340.0,424
52650644,437.0990566037736,0.5023584905660378,89900.0,424
39589039,185.66037735849056,0.49764150943396224,40850.0,424
48848529,601.9599056603773,0.9669811320754716,4000.0,424
28987242,445.3734061930783,0.20036429872495445,206010.0,549
707134296592561333,454.3632075471698,0.2688679245283019,142150.0,424
44153810,173.55188679245282,0.75,26194.0,424
31050234,510.4481132075472,0.36556603773584906,140480.0,424
683254546329214746,547.877358490566,0.9339622641509434,21500.0,424
41291609,349.5518867924528,0.7169811320754716,33795.0,424
587518141701638705,586.0849056603773,0.0589622641509434,218300.0,424
729663458450271713,1187.3529411764705,0.8823529411764706,37000.0,204
41731457,159.95990566037736,0.23113207547169812,39093.0,424
39526710,423.04245283018867,0.1721698113207547,146750.0,424
53674047,462.67676767676767,0.14646464646464646,162070.0,396
47089646,596.3891509433962,0.8962264150943396,25728.0,424
737760644809418314,639.4084158415842,0.8193069306930693,46571.0,404
716715748336955096,685.3465346534654,0.349009900990099,183360.0,404
40324988,475.7449799196787,0.6285140562248996,90650.0,498
525472560929976068,1204.2092457420924,0.9172749391727494,36350.0,411
31199819,377.6179245283019,0.5400943396226415,72150.0,424
23299596,145.07142857142858,0.5714285714285714,1716.0,28
16064275,460.8910891089109,0.9207920792079208,14600.0,404
30911004,611.6745283018868,0.9693396226415094,9150.0,424
46250277,469.3183962264151,0.9599056603773585,11300.0,424
633809099013662442,407.2169811320755,0.7452830188679245,52010.0,424
53190433,846.4622641509434,0.8891509433962265,52450.0,424
42901905,342.8494208494208,0.6428571428571429,83250.0,518
45531969,523.6792452830189,0.8608490566037735,38910.0,424
38800430,312.53258845437614,0.3780260707635009,102530.0,537
54177663,800.0,0.9811320754716981,6400.0,424
40148852,720.0471698113207,0.9599056603773585,24700.0,424
50262847,279.5992714025501,0.7632058287795993,37500.0,549
54367133,556.2028301886793,0.8372641509433962,20700.0,424
15754075,499.14841849148416,0.829683698296837,44950.0,411
45266833,409.0919811320755,0.6886792452830188,58441.0,424
686055622187478481,170.10849056603774,0.25235849056603776,39096.0,424
562866304058754758,600.0,0.7169811320754716,72000.0,424
53189515,1245.2830188679245,0.24056603773584906,388000.0,424
53733977,797.8102189781022,0.30656934306569344,304000.0,548
51544345,2271.3443396226417,0.589622641509434,393450.0,424
40869266,378.9080188679245,0.3466981132075472,81715.0,424
11508986,328.9457547169811,0.6863207547169812,47549.0,424
47782979,150.0,0.8466981132075472,9750.0,424
24353133,256.30037313432837,0.4291044776119403,77488.0,536
549806805550927013,373.91089108910893,0.3886138613861386,78650.0,404
748932197474274370,193.19949494949495,0.05303030303030303,72328.0,396
31741842,448.70283018867923,0.9174528301886793,22150.0,424
35826155,531.0141509433962,0.9811320754716981,1170.0,424
21610715,351.3207547169811,0.5801886792452831,62360.0,424
30098696,171.39858490566039,0.054245283018867926,68668.0,424
648522985326081489,480.3301886792453,0.4033018867924528,101880.0,424
39925487,340.6367924528302,0.8490566037735849,22540.0,424
47868232,500.0,0.5094339622641509,104000.0,424
39625815,475.75,0.6358267716535433,92500.0,508
40351988,395.036496350365,0.6697080291970803,66970.0,548
53915734,229.22995780590716,0.25949367088607594,56685.0,474
512777474623317753,1000.0,1.0,,424
52796586,350.0,0.29952830188679247,103950.0,424
15732070,690.0,0.0,122820.0,178
27248980,354.9056603773585,0.24056603773584906,113725.0,424
31607417,399.0,0.5448113207547169,77007.0,424
29013012,893.6320754716982,0.9834905660377359,6300.0,424
40039627,314.1639344262295,0.5719489981785064,97686.0,549
53455045,400.0,0.5094339622641509,83200.0,424
716703779507124462,350.0,0.1391509433962264,127750.0,424
50958684,690.9762773722628,0.833941605839416,63710.0,548
45899764,700.0,1.0,,424
27222202,1645.754716981132,0.9693396226415094,23600.0,424
47866298,604.9528301886793,0.9457547169811321,15700.0,424
594857002569221203,386.0097323600973,0.39416058394160586,88850.0,411
41705158,413.58490566037733,0.5235849056603774,85970.0,424
703527486074504582,324.4669811320755,1.0,,424
45184991,172.02702702702703,0.38513513513513514,12870.0,148
40209404,344.77777777777777,0.5136612021857924,119551.0,549
42445638,371.6981132075472,0.6533018867924528,60650.0,424
45609917,419.7080291970803,0.7274939172749392,50100.0,411
42625075,595.3832116788321,1.0,,548
53831507,418.1132075471698,0.9811320754716981,3440.0,424
51172833,103.2877358490566,0.29009433962264153,30984.0,424
30565467,651.2043795620438,0.6326034063260341,144650.0,411
694947516825280143,585.8490566037735,0.8773584905660378,41050.0,424
665058927800286302,579.5971074380166,0.9338842975206612,21165.0,484
15706749,650.0,0.9433962264150944,15600.0,424
31397917,132.33490566037736,0.28773584905660377,36570.0,424
40556586,192.68867924528303,0.6297169811320755,31570.0,424
29518544,210.0,0.9056603773584906,8400.0,424
27910707,811.75,0.24764150943396226,230632.0,424
730437501239201082,462.4939172749392,0.9002433090024331,23170.0,411
44075219,190.49528301886792,0.08490566037735849,64820.0,424
52845343,700.0,0.9848484848484849,4200.0,396
38699498,150.0,0.9764150943396226,1500.0,424
559203662802427966,1300.0,0.05660377358490566,520000.0,424
51825638,658.372641509434,0.9551886792452831,15100.0,424
659387238946499426,404.53333333333336,0.8888888888888888,1910.0,45
53918137,407.07547169811323,0.9316037735849056,12600.0,424
16687188,586.1061320754717,0.3419811320754717,151520.0,424
46372862,424.0097323600973,0.43552311435523117,84168.0,411
36632832,316.3679245283019,0.14386792452830188,108530.0,424
16177778,630.1179245283018,0.44339622641509435,152225.0,424
18505349,519.2216981132076,0.8278301886792453,47130.0,424
719608035919549657,264.2335766423358,0.8953771289537713,13850.0,411
645092818132652927,267.688679245283,0.8655660377358491,18090.0,424
47505362,926.2028301886793,0.1509433962264151,343750.0,424
53546501,1011.3702830188679,0.8915094339622641,51393.0,424
53631205,50.0,1.0,,424
27891417,256.4198113207547,0.14858490566037735,75222.0,424
40320100,630.0,0.9245283018867925,20160.0,424
30772699,481.4622641509434,0.24056603773584906,153740.0,424
31023729,400.0,0.9927007299270073,1200.0,411
547623614369864701,521.5566037735849,0.9528301886792453,16200.0,424
29341170,249.76415094339623,0.2688679245283019,67650.0,424
36557903,401.3443396226415,0.9457547169811321,9200.0,424
29114516,352.60956175298804,0.6075697211155379,81580.0,502
11044577,254.8272506082725,0.9148418491484185,11163.0,411
38191694,365.1415270018622,0.4171322160148976,141870.0,537
22280693,142.8233151183971,0.5136612021857924,30660.0,549
47593343,509.8540145985401,0.3236009732360097,142450.0,411
53335881,650.0,0.9811320754716981,5200.0,424
54211269,937.5,0.9669811320754716,13300.0,424
36235028,559.9494949494949,0.45454545454545453,98590.0,396
40371384,502.16945996275604,0.46741154562383613,165713.0,537
721635424816164605,1466.3915094339623,0.8443396226415094,103500.0,424
46370376,280.0,0.9858490566037735,1680.0,424
45382246,495.7641509433962,0.8820754716981132,36923.0,424
54196670,636.0827250608272,0.49391727493917276,140640.0,411
46088002,371.5607476635514,0.24065420560747663,102767.0,428
19952227,1300.0,0.9002433090024331,53300.0,411
39623532,1269.1831683168316,0.9752475247524752,17500.0,404
41595813,607.8637469586374,0.8880778588807786,38910.0,411
52561690,214.07311320754718,0.4693396226415094,48017.0,424
46678933,744.7405660377359,0.7594339622641509,65740.0,424
53775013,1500.0,1.0,,424
34218930,527.9481132075472,0.8372641509433962,57350.0,424
720383944790760874,325.81508515815085,0.30656934306569344,89930.0,411
655649152790814376,267.24056603773585,0.7830188679245284,47530.0,424
53600687,1100.0,0.44339622641509435,259600.0,424
721173927860114947,1687.7358490566037,0.9976415094339622,1890.0,424
52813149,350.4669811320755,0.21226415094339623,112598.0,424
563923122447968990,1200.9433962264152,0.9882075471698113,6200.0,424
23693720,602.4080882352941,0.5422794117647058,208630.0,544
719470154524862442,385.82547169811323,0.4481132075471698,84950.0,424
529739095437719765,488.6320754716981,0.9363207547169812,13060.0,424
30952394,600.0,0.9834905660377359,4200.0,424
42270655,524.0510018214936,0.8907103825136612,41420.0,549
24755374,193.93624772313296,0.24772313296903462,85326.0,549
52266549,461.5815085158151,0.8759124087591241,33160.0,411
674436738710449390,525.0283018867924,0.04009433962264151,207528.0,424
54245203,611.9343065693431,0.5644768856447688,111450.0,411
50052580,202.54716981132074,0.8066037735849056,15540.0,424
11567423,532.1674528301887,0.9504716981132075,21050.0,424
40538689,284.5660377358491,0.23349056603773585,93757.0,424
690766119492186908,800.0,0.31839622641509435,231200.0,424
44192417,300.58962264150944,0.4268867924528302,72750.0,424
729235567100047095,900.0,0.8953771289537713,38700.0,411
52059007,1055.8962264150944,0.9882075471698113,7500.0,424
40836223,1192.4528301886792,0.5023584905660378,250000.0,424
26258339,969.3430656934306,0.8369829683698297,87100.0,411
31284638,706.1674528301887,0.28773584905660377,218233.0,424
706489907288794903,521.688679245283,0.5377358490566038,110240.0,424
721143022842232721,694.9056603773585,0.9198113207547169,17000.0,424
21077682,553.1084905660377,0.9339622641509434,22705.0,424
16992951,1500.0,1.0,,424
53990080,1092.5,0.41273584905660377,267780.0,424
50085393,367.12264150943395,0.25943396226415094,121540.0,424
36298189,933.8679245283018,0.4834905660377358,229060.0,424
37148632,768.0,0.9127358490566038,31340.0,424
40246675,326.31143552311437,0.45255474452554745,78669.0,411
719355891470345652,365.3301886792453,0.6674528301886793,50900.0,424
32087372,294.10377358490564,1.0,,424
42040998,359.7948113207547,0.7688679245283019,46119.0,424
41396290,500.0,0.31839622641509435,144500.0,424
31041645,2413.38199513382,0.4209245742092457,592000.0,411
724829018833980710,1536.933962264151,0.9575471698113207,27650.0,424
53173167,1093.632075471698,0.37028301886792453,281000.0,424
16321793,431.9433962264151,0.45754716981132076,87904.0,424
18287935,3576.242424242424,0.43434343434343436,710792.0,495
52025452,314.0330188679245,0.8419811320754716,31520.0,424
37183669,140.04905660377358,0.10943396226415095,70370.0,530
47179602,438.938679245283,0.04716981132075472,173310.0,424
40583828,459.5518867924528,0.3419811320754717,114100.0,424
21103807,853.6556603773585,0.5872641509433962,150080.0,424
48624860,262.5707547169811,0.37735849056603776,69290.0,424
39820601,345.0,0.5151515151515151,66240.0,396
22514231,273.1132075471698,0.4075471698113208,80250.0,530
21108789,230.49528301886792,0.6627358490566038,52020.0,424
32552871,367.639902676399,0.9245742092457421,15950.0,411
52417933,2425.7075471698113,0.9764150943396226,25000.0,424
42158045,110.74528301886792,0.4363207547169811,31573.0,424
28366360,420.2830188679245,0.2830188679245283,130700.0,424
52450542,1002.0,0.9732360097323601,11022.0,411
31717485,700.0,1.0,,424
22764830,275.40330188679246,0.7122641509433962,43231.0,424
50561328,473.20754716981133,0.09669811320754718,175090.0,424
678132363441906229,950.3915094339623,0.4716981132075472,227642.0,424
39408131,192.91727493917276,0.0364963503649635,75784.0,411
29259545,124.1701244813278,0.056016597510373446,54840.0,482
46876680,219.12790697674419,0.4418604651162791,50240.0,516
53750030,820.0943396226415,0.9905660377358491,5200.0,424
53105307,591.2028301886793,0.7075471698113207,79920.0,424
39644383,811.5801886792453,0.9811320754716981,7600.0,424
40933854,652.4330900243309,0.40875912408759124,158850.0,411
28071688,574.5283018867924,0.23820754716981132,188700.0,424
16792099,149.2173913043478,0.8985507246376812,993.0,69
46471869,278.91509433962267,0.30424528301886794,83010.0,424
53474066,704.7405660377359,0.7358490566037735,79650.0,424
54218940,298.8679245283019,0.18867924528301888,97730.0,424
47438974,2000.0,0.6909975669099757,254000.0,411
50126529,356.36138613861385,0.9356435643564357,11400.0,404
53499612,275.8018867924528,0.9811320754716981,5600.0,424
734252268707224878,1159.1727493917274,0.7639902676399026,110100.0,411
52305543,1113.5330188679245,0.6320754716981132,179975.0,424
735647486124004932,348.1021897810219,0.9951338199513382,2000.0,411
40960741,286.49764150943395,0.4481132075471698,65575.0,424
40678671,480.51650943396226,0.2688679245283019,149422.0,424
40868399,600.0,0.9777227722772277,5400.0,404
3977675,118.76811594202898,0.2898550724637681,5585.0,69
40279622,449.9339622641509,0.18867924528301888,149894.0,424
52532833,321.8891509433962,0.25235849056603776,103462.0,424
53815397,226.9409282700422,0.6476793248945147,41470.0,474
715316189599899253,578.3018867924528,0.14622641509433962,212700.0,424
45768161,433.8443396226415,0.375,101050.0,424
52670832,792.6415094339623,0.7948113207547169,63360.0,424
718922870189236806,1009.433962264151,0.7641509433962265,131850.0,424
51840903,616.9811320754717,0.9693396226415094,9750.0,424
593582944300707685,394.4811320754717,0.7193396226415094,67300.0,424
53719507,517.3349056603773,1.0,,424
39668895,504.95283018867923,0.9575471698113207,10300.0,424
46258986,500.2688679245283,0.8726415094339622,41654.0,424
726040380549245538,93.77830188679245,0.5070754716981132,19486.0,424
54197754,400.0,0.5801886792452831,71200.0,424
52874992,953.0424528301887,0.9386792452830188,43400.0,424
53893648,654.014598540146,0.26763990267639903,196450.0,411
53415208,1478.933962264151,0.2759433962264151,463494.0,424
39895753,500.0,0.9528301886792453,10000.0,424
46866369,353.5,0.47641509433962265,82140.0,424
45540748,570.7547169811321,0.8985849056603774,30870.0,424
47904218,265.12971698113205,0.8679245283018868,14670.0,424
44403682,903.5377358490566,0.8632075471698113,52200.0,424
53901857,4916.1800486618,0.4720194647201946,1085000.0,411
32585103,249.44751381215468,0.3351749539594843,69350.0,543
23069834,235.61320754716982,0.9504716981132075,4900.0,424
52536443,339.41037735849056,0.28773584905660377,107670.0,424
51869457,517.3349056603773,0.5141509433962265,104550.0,424
27508624,117.99528301886792,0.6155660377358491,19540.0,424
639216644351145145,948.5507246376811,0.8188405797101449,89850.0,414
28612430,728.7450199203187,0.4900398406374502,183100.0,502
658670870469957307,630.0778301886793,0.8891509433962265,47525.0,424
644092775464345965,636.0849056603773,0.9433962264150944,29200.0,424
39151183,464.52830188679246,0.9599056603773585,14850.0,424
52582961,1479.3564356435643,0.8910891089108911,65620.0,404
678178813466191512,547.2877358490566,0.535377358490566,111750.0,424
5437566,358.3018867924528,0.38443396226415094,95140.0,424
39879303,461.2956204379562,0.9726277372262774,9550.0,548
29927892,692.8301886792453,0.2429245283018868,209560.0,424
697731286424418606,908.0801886792453,0.8915094339622641,49786.0,424
726132319312812974,249.2929292929293,0.29797979797979796,55600.0,396
37208458,493.6320754716981,0.8018867924528302,42000.0,424
48941838,486.7806603773585,0.9056603773584906,25496.0,424
39837003,137.14025500910748,0.20765027322404372,60825.0,549
26334990,912.5,0.8231132075471698,86700.0,424
41111971,1022.877358490566,0.41037735849056606,274800.0,424
52618493,649.0,0.0,275176.0,424
45177950,420.82547169811323,0.5094339622641509,91510.0,424
707877403177542442,325.42452830188677,0.39858490566037735,80890.0,424
25918412,370.13392857142856,0.7142857142857143,10595.0,112
37958347,942.5707547169811,0.9433962264150944,22000.0,424
38060727,253.36976320582878,0.20218579234972678,114240.0,549
15934309,1585.2122641509434,0.9056603773584906,34450.0,424
39610883,1498.5849056603774,0.6580188679245284,218500.0,424
39385517,600.0,0.9166666666666666,19800.0,396
36134162,422.7830188679245,0.37735849056603776,109320.0,424
52509425,650.0,0.8561320754716981,39650.0,424
52358821,551.2877358490566,0.9504716981132075,16396.0,424
52365560,332.4292452830189,0.9599056603773585,5650.0,424
676838365540390245,210.0,0.785377358490566,19110.0,424
747627607859155228,366.7171717171717,0.6565656565656566,50650.0,396
53592128,865.6816037735849,0.9292452830188679,28580.0,424
41350901,2684.992924528302,0.9834905660377359,18319.0,424
35251479,749.811320754717,0.9009433962264151,45000.0,424
16527828,823.3941605839416,0.9124087591240876,36095.0,411
16730935,170.0,0.9339622641509434,4760.0,424
51623204,1401.627358490566,0.1509433962264151,548430.0,424
14884678,440.6839622641509,0.3443396226415094,100650.0,424
52474050,105.53191489361703,0.22695035460992907,11480.0,141
54097010,2000.0,0.9929245283018868,6000.0,424
739119927990563923,350.0,0.3688118811881188,89250.0,404
47817514,352.0773638968481,0.1346704871060172,102900.0,349
20618105,571.1678832116788,0.12652068126520682,201450.0,411
40121694,121.50943396226415,0.44339622641509435,26115.0,424
38638326,893.2960893854748,0.32774674115456237,357110.0,537
52596621,1262.5,0.9528301886792453,26000.0,424
46925976,269.02830188679246,0.9834905660377359,4063.0,424
23263225,134.23762376237624,0.8712871287128713,10400.0,404
52873987,272.35849056603774,0.5801886792452831,71200.0,424
39007372,740.4379562043796,0.46958637469586373,158050.0,411
30916169,965.3301886792453,0.3018867924528302,278300.0,424
5159357,356.5801886792453,0.7240566037735849,46900.0,424
31984654,151.05188679245282,0.35377358490566035,42046.0,424
53784203,150.0,0.36556603773584906,40350.0,424
44699323,1961.438679245283,0.2240566037735849,641650.0,424
538401173325675434,619.8632075471698,0.2971698113207547,208273.0,424
53402180,921.6981132075472,0.22169811320754718,306800.0,424
45215860,720.0990099009902,0.1707920792079208,242620.0,404
558688446887987054,412.9481132075472,0.9457547169811321,12760.0,424
555873744201878598,762.6415094339623,0.9905660377358491,1440.0,424
33336758,375.3183962264151,0.8938679245283019,24370.0,424
688989834391341862,1040.7588357588359,0.40540540540540543,181322.0,481
747083479146515697,1100.0,1.0,,395
53280496,479.17452830188677,0.24056603773584906,160550.0,424
48080102,470.2830188679245,0.8891509433962265,27850.0,424
53698305,1500.0,0.419811320754717,369000.0,424
34866449,268.6320754716981,0.5801886792452831,45150.0,424
32970957,298.0495049504951,0.504950495049505,17556.0,101
6569062,534.9551886792453,0.2971698113207547,158615.0,424
53825192,610.5610200364299,0.17122040072859745,297126.0,549
53829219,129.4811320754717,0.9905660377358491,1600.0,424
42180312,131.88679245283018,0.16745283018867924,44745.0,424
53592110,1200.0,0.17688679245283018,418800.0,424
549043584001550140,443.16301703163015,0.9318734793187348,15081.0,411
16270332,334.2828685258964,0.19322709163346613,145150.0,502
599756978798369187,276.0377358490566,0.8018867924528302,22520.0,424
31059537,1200.0542452830189,0.4481132075471698,297753.0,424
17020512,900.0,0.9732360097323601,9900.0,411
631793130259333199,138.08962264150944,0.2028301886792453,37090.0,424
15314679,1088.4198113207547,0.38443396226415094,297580.0,424
599368528094352718,430.4858490566038,0.7877358490566038,57610.0,424
52301850,950.0,0.9586374695863747,16150.0,411
52776168,296.75,0.5448113207547169,57050.0,424
41321217,1000.0,0.5400943396226415,195000.0,424
53151612,430.47169811320754,0.9528301886792453,10190.0,424
41813666,681.9575471698113,0.5636792452830188,127330.0,424
38818200,634.4882075471698,1.0,,424
40236441,64.67924528301887,0.3018867924528302,2320.0,53
47291982,340.6367924528302,0.9127358490566038,16110.0,424
38899673,268.70283018867923,0.5165094339622641,53590.0,424
30889664,597.5542452830189,0.16745283018867924,188503.0,424
15500038,377.00471698113205,0.3891509433962264,97463.0,424
39215658,1811.3207547169811,0.07783018867924528,703800.0,424
30334519,351.8867924528302,0.6816037735849056,32300.0,424
31069380,486.5683962264151,0.22641509433962265,160890.0,424
22421421,265.6585365853659,0.975609756097561,262.0,41
734707774394612996,754.8418491484185,0.21654501216545013,239490.0,411
52214716,1003.6496350364963,0.9051094890510949,44220.0,411
728531681504670920,206.61800486618006,0.9829683698296837,700.0,411
32371924,494.24242424242425,0.8929292929292929,40700.0,495
40154354,350.0,0.2959558823529412,134050.0,544
47746340,265.183970856102,0.3879781420765027,93027.0,549
53997426,278.14858490566036,0.6415094339622641,41847.0,424
45911573,557.3820754716982,0.9127358490566038,34450.0,424
23707413,379.4403892944039,0.9732360097323601,8800.0,411
40250642,430.5613305613306,0.44490644490644493,102700.0,481
31878628,499.7641509433962,0.2830188679245283,151900.0,424
53320899,794.0801886792453,0.8726415094339622,36120.0,424
51431557,510.6132075471698,1.0,,424
27981528,264.05027932960894,0.3202979515828678,102730.0,537
27718978,1155.6307692307691,0.9153846153846154,43996.0,390
47269826,477.05882352941177,0.3713235294117647,169024.0,544
41676390,371.0377358490566,0.8962264150943396,19310.0,424
33497482,298.7877358490566,0.7806603773584906,38926.0,424
35769555,1250.0,0.5328467153284672,240000.0,411
46724379,345.04716981132077,0.8278301886792453,30301.0,424
29761442,422.9143897996357,0.16757741347905283,181470.0,549
